id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JN0BP6RW72TMZEJA3FAT9TYS,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:29:18.876249-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:29:18.876249-05:00,01JN0B6P79TEMD3DFZZAZJ8EJT,2025-02-26T00:29:18.876249-05:00,01JN0B6S70HKSZB9HQ73FKCEYD,2025-02-26T00:29:18.876249-05:00,01JN0B6S7P28G5D9E01CT61WPQ,2025-02-26T00:29:18.876249-05:00,,
01JN0BP6RW72TMZEJA3W72M2MS,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:29:18.876377-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:29:18.876377-05:00,01JN0B6RX1J3EK28BV4WGWSV9P,2025-02-26T00:29:18.876377-05:00,01JN0B6S70HKSZB9HQ73FKCEYD,2025-02-26T00:29:18.876377-05:00,01JN0B6S7P28G5D9E01CT61WPQ,2025-02-26T00:29:18.876377-05:00,,
01JN0C31Y3QDY2AZMRR4H7AZXQ,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:36:19.907643-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:36:19.907643-05:00,01JN0B6P79TEMD3DFZZAZJ8EJT,2025-02-26T00:36:19.907643-05:00,01JN0B6S70HKSZB9HQ866S9MB4,2025-02-26T00:36:19.907643-05:00,01JN0B6S7V1VKMPCRDCAGJMKGW,2025-02-26T00:36:19.907643-05:00,true,2025-02-26T00:36:36.246692-05:00
01JN0B6SABZZ30KGXRM2MXECCB,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:20:53.57979-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.57979-05:00,01JN0B6P79TEMD3DFZZAZJ8EJT,2025-02-26T00:20:53.57979-05:00,01JN0B6S6YDAS0FTZ8QRKBATZ9,2025-02-26T00:20:53.57979-05:00,01JN0B6S77BPR9CK2KYK3GDAVQ,2025-02-26T00:20:53.57979-05:00,true,2025-02-26T00:21:28.230624-05:00
01JN0B9CGBFQY5E79F4XSQ7AWW,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:22:18.763183-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:22:18.763183-05:00,01JN0B6P79TEMD3DFZZAZJ8EJT,2025-02-26T00:22:18.763183-05:00,01JN0B6S6YDAS0FTZ8R1MFT0AY,2025-02-26T00:22:18.763183-05:00,01JN0B6S7DZ480CE842BDQAPV0,2025-02-26T00:22:18.763183-05:00,,
01JN0B9CGBFQY5E79F5CXY852J,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:22:18.763359-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:22:18.763359-05:00,01JN0B6RX1J3EK28BV4WGWSV9P,2025-02-26T00:22:18.763359-05:00,01JN0B6S6YDAS0FTZ8R1MFT0AY,2025-02-26T00:22:18.763359-05:00,01JN0B6S7DZ480CE842BDQAPV0,2025-02-26T00:22:18.763359-05:00,,
01JN0C16D4TK4A7RN7SEX2RG5A,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:35:18.948548-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:35:18.948548-05:00,01JN0B6P79TEMD3DFZZAZJ8EJT,2025-02-26T00:35:18.948548-05:00,01JN0B6S70HKSZB9HQ866S9MB4,2025-02-26T00:35:18.948548-05:00,01JN0B6S7V1VKMPCRDBQNZT8DD,2025-02-26T00:35:18.948548-05:00,true,2025-02-26T00:36:19.88273-05:00
01JN0C16D4TK4A7RN7SSZ5XYVK,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:35:18.948647-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:35:18.948647-05:00,01JN0B6RX1J3EK28BV4WGWSV9P,2025-02-26T00:35:18.948647-05:00,01JN0B6S70HKSZB9HQ866S9MB4,2025-02-26T00:35:18.948647-05:00,01JN0B6S7V1VKMPCRDBQNZT8DD,2025-02-26T00:35:18.948647-05:00,true,2025-02-26T00:36:16.913382-05:00
01JN0C45F0S2XKKX6SP24Q9AF3,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:36:56.28855-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:36:56.28855-05:00,01JN0B6P79TEMD3DFZZAZJ8EJT,2025-02-26T00:36:56.28855-05:00,01JN0B6S71JKYP8EZZKE267S48,2025-02-26T00:36:56.28855-05:00,01JN0B6S7ZJ2C8TJWR2AV4M98Q,2025-02-26T00:36:56.28855-05:00,true,2025-02-26T00:37:02.547266-05:00
01JN0B7V5VCEFVEHB5S4AGAR6W,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:21:28.25186-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:21:28.25186-05:00,01JN0B6RX1J3EK28BV4WGWSV9P,2025-02-26T00:21:28.25186-05:00,01JN0B6S6YDAS0FTZ8QRKBATZ9,2025-02-26T00:21:28.25186-05:00,01JN0B6S77BPR9CK2KZ31NVTT0,2025-02-26T00:21:28.25186-05:00,true,2025-02-26T00:22:05.853451-05:00
01JN0B7V5VCEFVEHB5SN29B1E5,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:21:28.251996-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:21:28.251996-05:00,01JN0B6P79TEMD3DFZZAZJ8EJT,2025-02-26T00:21:28.251996-05:00,01JN0B6S6YDAS0FTZ8QRKBATZ9,2025-02-26T00:21:28.251996-05:00,01JN0B6S77BPR9CK2KZ31NVTT0,2025-02-26T00:21:28.251996-05:00,true,2025-02-26T00:22:03.092394-05:00
01JN0BMC4HN4KSA0KC7N2HN61E,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:28:18.833282-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:28:18.833282-05:00,01JN0B6P79TEMD3DFZZAZJ8EJT,2025-02-26T00:28:18.833282-05:00,01JN0B6S70HKSZB9HQ7MQYC5Z3,2025-02-26T00:28:18.833282-05:00,01JN0B6S7J78DJSFNA7HYK4NJZ,2025-02-26T00:28:18.833282-05:00,,
01JN0BMC4HN4KSA0KC7XRP15P9,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:28:18.833472-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:28:18.833472-05:00,01JN0B6RX1J3EK28BV4WGWSV9P,2025-02-26T00:28:18.833472-05:00,01JN0B6S70HKSZB9HQ7MQYC5Z3,2025-02-26T00:28:18.833472-05:00,01JN0B6S7J78DJSFNA7HYK4NJZ,2025-02-26T00:28:18.833472-05:00,,
01JN0BZBRRTE2ANT5J5E9HTVZR,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:34:18.904963-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:34:18.904963-05:00,01JN0B6RX1J3EK28BV4WGWSV9P,2025-02-26T00:34:18.904963-05:00,01JN0B6S70HKSZB9HQ73FKCEYD,2025-02-26T00:34:18.904963-05:00,01JN0B6S7P28G5D9E01WKY15AX,2025-02-26T00:34:18.904963-05:00,,
